Project Number,Project Name,Path
24-045,1238-Formosa,L:\Shared\Projects\2024\24-045_1238-Formosa
24-046,Arc'teryx_Portland_OR,L:\Shared\Projects\2024\24-046_Arc'teryx_Portland_OR
24-047,LLJ-De-Soto-&-Burbank_AO,L:\Shared\Projects\2024\24-047_LLJ-De-Soto-&-Burbank_AO
24-049,126-Washington_San-Diego_AO,L:\Shared\Projects\2024\24-049_126-Washington_(The George)_San-Diego_AO
24-050,Chipotle_Fresno_Punch_List_AO,L:\Shared\Projects\2024\24-050_Chipotle_Fresno_Punch_List_AO
24-051,Arc'teryx_Rosemont_Illinois_Nadel,L:\Shared\Projects\2024\24-051_Arc'teryx_Rosemont_Illinois_Nadel
24-052,Arc'teryx_Georgetown_Nadel,L:\Shared\Projects\2024\24-052_Arc'teryx_Georgetown_Nadel
24-053,Civita-NUP_Temp-Parking-lot,L:\Shared\Projects\2024\24-053_Civita-NUP_Temp-Parking-lot
24-054,Oak-Valley-Village_CA_Nadel,L:\Shared\Projects\2024\24-054_Oak-Valley-Village_CA_Nadel
24-055,SSCW_Anthem_Vision_Spec_Insp_AO,L:\Shared\Projects\2024\24-055_SSCW_Anthem_Vision_Spec_Insp_AO
24-056,Chipotle-Moreno-Beach-&-Trail-Ridge_Moreno-Valley-CA_AO,L:\Shared\Projects\2024\24-056_Chipotle-Moreno-Beach-&-Trail-Ridge_Moreno-Valley-CA_AO
24-057,Better-Buzz-Coffee_Eastvale-CA_AO,L:\Shared\Projects\2024\24-057_Better-Buzz-Coffee_Eastvale-CA_AO
24-058,2330-Foothill Blvd-LaVerne-CA_KIMCO,L:\Shared\Projects\2024\24-058_2330-Foothill Blvd-LaVerne-CA_KIMCO
24-059,"6971 El Camino Real, Suite 102","L:\Shared\Projects\2024\24-059_ 6971 El Camino Real, Suite 102"
24-060,Otay-Mesa-CA_NewMark-Merrill,L:\Shared\Projects\2024\24-060_Otay-Mesa-CA_NewMark-Merrill
24-061,Kheir-Clinic-Lobby_LA_Morphosis,L:\Shared\Projects\2024\24-061_Kheir-Clinic-Lobby_LA_Morphosis
24-062,Circle K_Spec_Insp_AP_Construction,L:\Shared\Projects\2024\24-062_Circle K_Spec_Insp_AP_Construction
24-063,DPH_BLDG_5_Yacht_Club_ SMS,L:\Shared\Projects\2024\24-063_DPH_BLDG_5_Yacht_Club_ SMS
24-064,Crunch_Theater_Jurupa_CA_AO,L:\Shared\Projects\2024\24-064_Crunch_Theater_Jurupa_CA_AO
24-065,13043-W-Ventura-Blvd_Studio-City_Coldwater,L:\Shared\Projects\2024\24-065_13043-W-Ventura-Blvd_Studio-City_Coldwater
24-066,Val_Vista_Temp_Pwr_IPS_Mesa_AZ,L:\Shared\Projects\2024\24-066_Val_Vista_Temp_Pwr_IPS_Mesa_AZ
24-067,Sempra-Water-Feature_San-Diego_Carrier-Johnson,L:\Shared\Projects\2024\24-067_Sempra-Water-Feature_San-Diego_Carrier-Johnson
24-068,Green-Manor_San-Diego_Carrier-Johnson,L:\Shared\Projects\2024\24-068_Green_Manor_SD_Carrier_Johnson
24-069,Arc'teryx_New_York_West_Side,L:\Shared\Projects\2024\24-069_Arc'teryx_New_York_West_Side
24-070,3140_E_Coronado_PR_Construction,L:\Shared\Projects\2024\24-070_3140_E_Coronado_PR_Construction
24-071,Pacific_Edge_Laguna_Beach_PDB_Collaborative,L:\Shared\Projects\2024\24-071_Pacific_Edge_Laguna_Beach_PDB_Collaborative
24-072,Arc'Teryx_Aspen_CO_Nadel,L:\Shared\Projects\2024\24-072_Arc'Teryx_Aspen_CO_Nadel
24-073,24th_Street_Temp_Gensets_IPS_PHX,L:\Shared\Projects\2024\24-073_24th_Street_Temp_Gensets_IPS_PHX
24-074,River-Center-Rehab_AZ_AO,L:\Shared\Projects\2024\24-074_River-Center-Rehab_AZ_AO
24-075,TJ MAXX_LaMesa_AO,L:\Shared\Projects\2024\24-075_TJ MAXX_LaMesa_AO
24-076,ULTA_LaMesa_AO,L:\Shared\Projects\2024\24-076_ULTA_LaMesa_AO
24-077,Adelanto-Towne-Center_Adelanto-CA_Nadel,L:\Shared\Projects\2024\24-077_Adelanto-Towne-Center_Adelanto-CA_Nadel
24-078,Spruce_&Red_Oak_Apt_Rancho Cucamonga_CA_AO,L:\Shared\Projects\2024\24-078_Spruce_&_Red_Oak_Apt_Rancho Cucamonga_CA_AO
24-079,Arc'ytrex_Century-City-CA_Nadel,L:\Shared\Projects\2024\24-079_Arc'ytrex_Century-City-CA_Nadel
24-080,Forum-Suite-210-Demise_Carlsbad-CA_AO,L:\Shared\Projects\2024\24-080_Forum-Suite-210-Demise_Carlsbad-CA_AO
24-081,Garney&_24th_Street_Temp_Gensets_IPS_PHX,L:\Shared\Projects\2024\24-081_Garney_&_24th_Street_Temp_Gensets_IPS_PHX
24-082,Indio-Marketplace_AO,L:\Shared\Projects\2024\24-082_Indio-Marketplace_AO
24-083,Primestor-Lynnwood_Lynnwood-CA_LDA,L:\Shared\Projects\2024\24-083_Primestor-Lynnwood_Lynnwood-CA_LDA
24-084,Pet-Food-Express_Presidio-CA_LDA,L:\Shared\Projects\2024\24-084_Pet-Food-Express_Presidio-CA_LDA
24-085,Better-Buzz-Coffee_Orange-CA_AO,L:\Shared\Projects\2024\24-085_Better-Buzz-Coffee_Orange-CA_AO
24-086,The-Paseo-Theater_StGeorge-UT_SMS,L:\Shared\Projects\2024\24-086_The-Paseo-Theater_StGeorge-UT_SMS
24-087,Black-Desert-Boardwalk_St-George-UT_AO,L:\Shared\Projects\2024\24-087_Black-Desert-Boardwalk_St-George-UT_AO
24-088,Thirty-Three_4033-30th-Street-SD-CA_BC,L:\Shared\Projects\2024\24-088_Thirty_Three_4033-30th-Street-SD-CA_BC
24-089,FHCSD_Barrio-Logan-SD-CA_Rowan-Electric,L:\Shared\Projects\2024\24-089_FHCSD_Barrio_Logan-SD-CA_Rowan-Electric
24-090,City_of_Mesa_Presentation,L:\Shared\Projects\2024\24-090_City_of_Mesa_Presentation
24-091,Cable_Tray_IPS,L:\Shared\Projects\2024\24-091_Cable_Tray_IPS
24-092,Steve-Madden_Costa-Mesa-CA_SMS,L:\Shared\Projects\2024\24-092_Steve-Madden_Costa-Mesa-CA_SMS
24-093,Onboard-Systems_Anaheim-CA_AO,L:\Shared\Projects\2024\24-093_Onboard_Systems_Anaheim-CA_AO
24-094,Arc'teryx_Philadelphia-PA_Nadel,L:\Shared\Projects\2024\24-094_Arc'teryx_Philadelphia-PA_Nadel
24-095,APG_Special Inspection,L:\Shared\Projects\2024\24-095_APG_Special_Inspection
24-096,Arc'teryx-Castle-Rock-CO_Nadel,L:\Shared\Projects\2024\24-096_Arc'teryx-Castle-Rock-CO_Nadel
25-000,Costa-Verde-T-24_No-Charge,L:\Shared\Projects\2025\25-000_Costa-Verde-T-24_No-Charge
25-001,Arc'teryx_Park_City_UT_Nadel,L:\Shared\Projects\2025\25-001_Arc'teryx_Park_City_UT_Nadel
25-002,Arc'teryx-Venice-CA_Nadel,L:\Shared\Projects\2025\25-002_Arc'teryx-Venice-CA_Nadel
25-003,Kheir-Clinic_LA_Archeon,L:\Shared\Projects\2025\25-003_Kheir-Clinic_LA_Archeon
25-004,South_Mtn_Gym_Arc_Flash_WAV_Electric,L:\Shared\Projects\2025\25-004_South_Mtn_Gym_Arc_Flash_WAV_Electric
25-005,New-Fire-Pump-Sorento-Tower_San-Diego-CA_Crede,L:\Shared\Projects\2025\25-005_New-Fire-Pump-Sorento-Tower_San-Diego-CA_Crede
25-006,Molly's-Lakeside-Project-Shelby-NC_AAHA,L:\Shared\Projects\2025\25-006_Molly's-Lakeside-Project-Shelby-NC_AAHA
25-007,WSS-Inglewood-CA_Nadel,L:\Shared\Projects\2025\25-007_WSS-Inglewood-CA_Nadel
25-008,1114-1116-Abbot Kinney-Blvd_Arc'teryx-Venice-CA_Nadel,L:\Shared\Projects\2025\25-008_1114-1116-Abbot Kinney-Blvd_Arc'teryx-Venice-CA_Nadel
25-009,Cibola-Vista-Self-Storage-Peoria-AZ_Bowman-Ramon,L:\Shared\Projects\2025\25-009_Cibola-Vista-Self-Storage-Peoria-AZ_Bowman-Ramon
25-010,Arc'teryx-Tulalip-WA_Nadel,L:\Shared\Projects\2025\25-010_Arc'teryx-Tulalip-WA_Nadel
25-011,Desert-Surf_Palm-Desert-CA_Danielian,L:\Shared\Projects\2025\25-011_Desert-Surf_Palm-Desert-CA_Danielian
25-012,FedEx_Bowman-Ramon_San-Antonio_TX,L:\Shared\Projects\2025\25-012_FedEx_Bowman-Ramon_San-Antonio_TX
25-013,FedEx_Bowman-Ramon_Rialto_CA,L:\Shared\Projects\2025\25-013_FedEx_Bowman-Ramon_Rialto_CA
25-014,Good-Earth_Paseo_St-George_UT_SMS,L:\Shared\Projects\2025\25-014_Good-Earth_Paseo_St-George_UT_SMS
25-015,Abercrombie-at-Forum-Suite-104_Carlsbad-CA_AO,L:\Shared\Projects\2025\25-015_Abercrombie-at-Forum-Suite-104_Carlsbad-CA_AO
25-016,Arc'teryx_Burlingame-CA_AO,L:\Shared\Projects\2025\25-016_Arc'teryx_Burlingame-CA_AO
25-017,"750,000-SF._Industrial_Building_Hesperia-CA_SRD_Design_Studio","L:\Shared\Projects\2025\25-017_750,000-SF._Industrial_Building_Hesperia-CA_SRD_Design_Studio"
25-018,Carlsbad-Forum-Shell-Spaces_Carlsbad-CA_AO,L:\Shared\Projects\2025\25-018_Carlsbad-Forum-Shell-Spaces_Carlsbad-CA_AO
25-019,8938-Pico-Blvd_LA-CA_Enclosure-Architects,L:\Shared\Projects\2025\25-019_8938-Pico-Blvd_LA-CA_Enclosure-Architects
25-020,Meridian_SMS_Meridian_ID,L:\Shared\Projects\2025\25-020_Meridian_SMS_Meridian_ID
25-021,Morning-Vista_SMS_Lehi_UT,L:\Shared\Projects\2025\25-021_Morning-Vista_SMS_Lehi_UT
25-022,SSCW-I10-&-Verrado_BuckeyeAZ_AO,L:\Shared\Projects\2025\25-022_SSCW-I10-&-Verrado_BuckeyeAZ_AO
25-023,Sundial-1001-Welton-Way_InglewoodCA_NGGPartners,L:\Shared\Projects\2025\25-023_Sundial-1001-Welton-Way_InglewoodCA_NGGPartners
25-024,Decision-St_Rowan-Electric,L:\Shared\Projects\2025\25-024_Decision-St_Rowan-Electric
25-025,13488-Maxella-Ave_Los-Angeles-CA_Nadel,L:\Shared\Projects\2025\25-025_13488-Maxella-Ave_Los-Angeles-CA_Nadel
25-026,Milkshake-Bar_Mesa-AZ_Bowman-Ramon,L:\Shared\Projects\2025\25-026_Milkshake-Bar_Mesa-AZ_Bowman-Ramon
25-027,Village-Green-Apts_San-Bernardino-CA_Basis-Arch,L:\Shared\Projects\2025\25-027_Village-Green-Apts_San-Bernardino-CA_Basis-Arch
25-028,Arc'teryx_Corte-Madera_CA_Nadel,L:\Shared\Projects\2025\25-028_Arc'teryx_Corte-Madera_CA_Nadel
25-029,Sonesta_Suites DPR_Ontario_CA,L:\Shared\Projects\2025\25-029_Sonesta_Suites DPR_Ontario_CA
25-030,SSCW-Hwy-121-&-Coit-Rd_Plano-TX_AO,L:\Shared\Projects\2025\25-030_SSCW-Hwy-121-&-Coit-Rd_Plano-TX_AO
25-031,Northgate-Market_Moreno-Valley-CA_AO,L:\Shared\Projects\2025\25-031_Northgate-Market_Moreno-Valley-CA_AO
25-032,SSCW_Powers & Carefree_and_Commerce_&_Woodman-CO_AO,L:\Shared\Projects\2025\25-032_SSCW_Powers & Carefree_and_Commerce_&_Woodman-CO_AO
25-033,6th-St-Apts_Palmdale-CA_Ware-Malcomb,L:\Shared\Projects\2025\25-033_6th-St-Apts_Palmdale-CA_Ware-Malcomb
25-034,Artesia-Mixed-Use_Andmore-Partners,L:\Shared\Projects\2025\25-034_Artesia-Mixed-Use_Andmore-Partners
25-035,Erewhon-Markets-Thousand-Oaks-CA_AO,L:\Shared\Projects\2025\25-035_Erewhon-Markets-Thousand-Oaks-CA_AO
25-036,Arc'teryx_Park-Meadows_CO_AO,L:\Shared\Projects\2025\25-036_Arc'teryx_Park-Meadows_CO_AO
25-037,Elizabeth-Corner-Gas-Station_Perris-CA_SMS,L:\Shared\Projects\2025\25-037_Elizabeth-Corner-Gas-Station_Perris-CA_SMS
25-038,Arc'teryx-Stanford-Shopping-Center_Palo-Alto-CA_AO,L:\Shared\Projects\2025\25-038_Arc'teryx-Stanford-Shopping-Center_Palo-Alto-CA_AO
25-040,BV_ARC-FLASH-Paradise_Valley_AZ,L:\Shared\Projects\2025\25-040_BV_ARC-FLASH-Paradise_Valley_AZ
25-041,Av-Air_Tempe-AZ_Bradford-Systems,L:\Shared\Projects\2025\25-041_Av-Air_Tempe-AZ_Bradford-Systems
25-042,McAlister-Institute_San-Diego-CA_RIOS,L:\Shared\Projects\2025\25-042_McAlister-Institute_San-Diego-CA_RIOS
25-044,Vivi-Pasta_Encinitas-CA_AO,L:\Shared\Projects\2025\25-044_Vivi-Pasta_Encinitas-CA_AO
25-045,Onyx_7520-Sunset-Blvd_Los-Angeles-CA_AO,L:\Shared\Projects\2025\25-045_Onyx_7520-Sunset-Blvd_Los-Angeles-CA_AO
25-046,Swarvoski_Eastview-Mall-NY_LDA,L:\Shared\Projects\2025\25-046_Swarovski_Eastview-Mall-NY_LDA
25-047,Swarvoski_Annapolis-Mall-MD_LDA,L:\Shared\Projects\2025\25-047_Swarovski_Annapolis-Mall-MD_LDA
25-048,Swarvoski_City-Point-Center-NY_LDA,L:\Shared\Projects\2025\25-048_Swarovski_City-Point-Center-NY_LDA
25-049,Swarvoski_Southlake-Mall-IN_LDA,L:\Shared\Projects\2025\25-049_Swarovski_Southlake-Mall-IN_LDA
25-050,Swarvoski_Lynnhaven-Mall-VA_LDA,L:\Shared\Projects\2025\25-050_Swarovski_Lynnhaven-Mall-VA_LDA
25-051,764-Eucalyptus_San-Diego-CA_Frank-Landry,L:\Shared\Projects\2025\25-051_764-Eucalyptus_San-Diego-CA_Frank-Landry
25-052,Arc'teryx_1116-7-Abbot-Kinney_Venice-CA_AO,L:\Shared\Projects\2025\25-052_Arc'teryx_1116-7-Abbot-Kinney_Venice-CA_AO
25-053,IPS_Phoenix_Temp_Pwr_PHX_AZ,L:\Shared\Projects\2025\25-053_IPS_Phoenix_Temp_Pwr_PHX_AZ
25-055,SAIC-BIM_Rowan-Electric,L:\Shared\Projects\2025\25-055_SAIC-BIM_Rowan-Electric
25-056,Broadfoot-Honeywell_Elev_PHX_AZ,L:\Shared\Projects\2025\25-056_Broadfoot-Honeywell_Elev_PHX_AZ
25-057,Accolade_Temp_Pwr_SD_CA_AMPAM,L:\Shared\Projects\2025\25-057_Accolade_Temp_Pwr_SD_CA_AMPAM
25-058,4110-Adams-Ave_San-Diego-CA_AO,L:\Shared\Projects\2025\25-058_4110-Adams-Ave_San-Diego-CA_AO
25-059,Brandon-Dedmon_ADU_Personal_Project,L:\Shared\Projects\2025\25-059_Brandon-Dedmon_ADU_Personal_Project
25-060,Chipotle_Temperance & Owens Mtn_AO,L:\Shared\Projects\2025\25-060_Chipotle_Temperance & Owens Mtn_AO
25-061,Whole_Foods_Carmel_Mtn_San_Diego_AO,L:\Shared\Projects\2025\25-061_Whole_Foods_Carmel_Mtn_San_Diego_AO
25-062,5540-Hollywood-Blvd_Nadel,L:\Shared\Projects\2025\25-062_5540-Hollywood-Blvd_Nadel
25-063,Oasis-Entertainment-Place_Ridgecrest-CA_Nadel,L:\Shared\Projects\2025\25-063_Oasis-Entertainment-Place_Ridgecrest-CA_Nadel
25-064,Gateway-Center_Palm-Springs_CA_AO,L:\Shared\Projects\2025\25-064_Gateway-Center_Palm-Springs_CA_AO
25-065,Gas-City_Walmart_DC_Indiana_Jett,L:\Shared\Projects\2025\25-065_Gas-City_Walmart_DC_Indiana_Jett
25-066,Cache-58_Rancho-Cucamonga-CA_SMS,L:\Shared\Projects\2025\25-066_Cache-58_Rancho-Cucamonga-CA_SMS
25-067,Marriott_Ventura-CA_AO,L:\Shared\Projects\2025\25-067_Marriott_Ventura-CA_AO
25-068,Belmont_Shores_Temp_Pwr_Carmel_Ptnrs,L:\Shared\Projects\2025\25-068_Belmont_Shores_Temp_Pwr_Carmel_Ptnrs_
25-069,Chipotle_Sepulved_&_Drollinger_CA_AO,L:\Shared\Projects\2025\25-069_Chipotle_Sepulveda_&_Drollinger_CA_AO
25-070,1001-S-Grand-Ave_PR-Construction,L:\Shared\Projects\2025\25-070_1001-S-Grand-Ave_PR-Construction
25-071,Chick-fil-A_Bozeman-MT_MCG-Arch,L:\Shared\Projects\2025\25-071_Chick-fil-A_Bozeman-MT_MCG-Arch
25-072,Arc'teryx_Valley-Fair_Santa-Clara_CA_AO,L:\Shared\Projects\2025\25-072_Arc'teryx_Valley-Fair_Santa-Clara_CA_AO
25-073,IKSH-Vision_Culver-City_CA_Dauntless,L:\Shared\Projects\2025\25-073_IKSH-Vision_Culver-City_CA_Dauntless
25-074,Chick-fil-A_Jefferson-St_San-Francisco-CA_MCG-Arch,L:\Shared\Projects\2025\25-074_Chick-fil-A_Jefferson-St_San-Francisco-CA_MCG-Arch
25-075,Newport-Village-Apts_Costa-Mesa-CA_Crede,L:\Shared\Projects\2025\25-075_Newport-Village-Apts_Costa-Mesa-CA_Crede
25-076,Lowe-Main-Place-Culinary_Santa-Ana-CA_AO,L:\Shared\Projects\2025\25-076_Lowe-Main-Place-Culinary_Santa-Ana-CA_AO
25-077,Arc-Flash_COP_Pueblo-Grande_WAV-Elec,L:\Shared\Projects\2025\25-077_Arc-Flash_COP_Pueblo-Grande_WAV-Elec
25-078,SSCW-Sheridan-CO_AO,L:\Shared\Projects\2025\25-078_SSCW-Sheridan-CO_AO
25-079,Amara-Bay_AVRP,L:\Shared\Projects\2025\25-079 - Amara-Bay_AVRP
25-080,11-Fox-Hole_Ladera-Ranch-CA_Construction-Pro,L:\Shared\Projects\2025\25-080_11-Fox-Hole_Ladera-Ranch-CA_Construction-Pro
25-081,Hotel-Maya-Bar_NOA,L:\Shared\Projects\2025\25-081_Hotel-Maya-Bar_NOA
25-082,TRU-West-MEP-Peer-Review_HGFenton,L:\Shared\Projects\2025\25-082_TRU-West-MEP-Peer-Review_HGFenton
25-083,Emanate-14514-Ramona-Blvd_Baldwin-Park_Dorado,L:\Shared\Projects\2025\25-083_Emanate-14514-Ramona-Blvd_Baldwin-Park_Dorado
25-084,Service_Assessment_180 Newport_DMP-Properties,L:\Shared\Projects\2025\25-084_Service_Assessment_180 Newport_DMP-Properties
25-085,Alicia-Town-Center_Laguna-Hills_AO,L:\Shared\Projects\2025\25-085_Alicia-Town-Center_Laguna-Hills_AO
25-086,IPS_Lift-Stn-40_PHX_AZ,L:\Shared\Projects\2025\25-086_IPS_Lift-Stn-40_PHX_AZ
25-087,Swarovski-Ridgedale-Center-MN_LDA,L:\Shared\Projects\2025\25-087_Swarovski-Ridgedale-Center-MN_LDA
25-088,Garden-Street-Hotel_Santa-Barbara_Dauntless-Dev,L:\Shared\Projects\2025\25-088_Garden-Street-Hotel_Santa-Barbara_Dauntless-Dev
25-089,SSCW-Loop-303-&-Indian-School_Goodyear-AZ_AO,L:\Shared\Projects\2025\25-089_SSCW-Loop-303-&-Indian-School_Goodyear-AZ_AO
25-090,DV_Temp_PWR_PHX_AZ_IPS,L:\Shared\Projects\2025\25-090_DV_Temp_PWR_PHX_AZ_IPS
25-091,Rexford-2641-Manhattan-Beach_We-Architects,L:\Shared\Projects\2025\25-091_Rexford-2641-Manhattan-Beach_We-Architects
25-092,Chick-fil-A_Race-St-&-San-Carlos_San-Jose-CA_MCG,L:\Shared\Projects\2025\25-092_Chick-fil-A_Race-St-&-San-Carlos_San-Jose-CA_MCG
25-093,F45-Beachwalk_Solana-Beach-CA_AO,L:\Shared\Projects\2025\25-093_F45-Beachwalk_Solana-Beach-CA_AO
25-094,Swarvoski_Park-City-Center-PA_LDA,L:\Shared\Projects\2025\25-094_Swarvoski_Park-City-Center-PA_LDA
25-095,Swarovski_Grand-Canal-Shoppes-NV_LDA,L:\Shared\Projects\2025\25-095_Swarovski_Grand-Canal-Shoppes-NV_LDA
25-096,Swarovski_Briarwood-Mall-MI_LDA,L:\Shared\Projects\2025\25-096_Swarovski_Briarwood-Mall-MI_LDA
25-097,Swarvoski_Culver-City-Mall-CA_LDA,L:\Shared\Projects\2025\25-097_Swarvoski_Culver-City-Mall-CA_LDA
25-098,Swarovski_St.-Louis-Galleria-MO_LDA,L:\Shared\Projects\2025\25-098_Swarovski_St.-Louis-Galleria-MO_LDA
25-099,Swarovski_Penn-Square-Mall-OK_LDA,L:\Shared\Projects\2025\25-099_Swarovski_Penn-Square-Mall-OK_LDA
25-100,Swarovski_Mall-of-Louisiana-LA_LDA,L:\Shared\Projects\2025\25-100_Swarovski_Mall-of-Louisiana-LA_LDA
25-101,Swarovski_Woodland-Mall-MI_LDA,L:\Shared\Projects\2025\25-101_Swarovski_Woodland-Mall-MI_LDA
25-102,Swarovski_South-Hills-Village-PA_LDA,L:\Shared\Projects\2025\25-102_Swarovski_South-Hills-Village-PA_LDA
25-103,Ellis-Gas-Station_Perris-CA_SMS,L:\Shared\Projects\2025\25-103_Ellis-Gas-Station_Perris-CA_SMS
25-104,Erewhon-Markets_DTLA-CA_AO,L:\Shared\Projects\2025\25-104_Erewhon-Markets_DTLA-CA_AO
25-105,Anara_2200-Colorado-Ave_Santa-Monica_AO,L:\Shared\Projects\2025\25-105_Anara_2200-Colorado-Ave_Santa-Monica_AO
25-106,Chick-fil-A_I-80-&-Central-Way_Fairfield-CA_MCG-Arch,L:\Shared\Projects\2025\25-106_Chick-fil-A_I-80-&-Central-Way_Fairfield-CA_MCG-Arch
25-107,St.-Sophia-Cathedral_Los-Angeles_AO,L:\Shared\Projects\2025\25-107_St.-Sophia-Cathedral_Los-Angeles_AO
25-108,Franciscan-Metro_Torrance_CA_SMS,L:\Shared\Projects\2025\25-108_Franciscan-Metro_Torrance_CA_SMS
25-109,SSCW-John-Wayne-&-Honeycutt_Maricopa-AZ_AO,L:\Shared\Projects\2025\25-109_SSCW-John-Wayne-&-Honeycutt_Maricopa-AZ_AO
25-110,Chick-fil-A_Whitney-Ranch-&-University_Rocklin-CA,L:\Shared\Projects\2025\25-110_Chick-fil-A_Whitney-Ranch-&-University_Rocklin-CA
25-111,Erewhon-Markets-Pacific-Palisades-CA_AO,L:\Shared\Projects\2025\25-111_Erewhon-Markets-Pacific-Palisades-CA_AO
25-112,Nothing-Bundt-Cakes_La-Mesa-CA_AO,L:\Shared\Projects\2025\25-112_Nothing-Bundt-Cakes_La-Mesa-CA_AO
26001,amara bay lot 2_chulavista-ca_p214,L:\Shared\Projects\2026\26001_ amara bay lot 2_chulavista-ca_p214
26002,danielian precious life shelter_oc_pxxx,L:\Shared\Projects\2026\26002_danielian precious life shelter_oc_pxxx
26003,ao_erewhon pacific palisades_ca_p112,L:\Shared\Projects\2026\26003_ao_erewhon pacific palisades_ca_p112
26004,ao_anara santa monica_ca_p211,L:\Shared\Projects\2026\26004_ao_anara santa monica_ca_p211
26005,ao_erewhon dtla_los angeles_ca_p189,L:\Shared\Projects\2026\26005_ao_erewhon dtla_los angeles_ca_p189
26006,ao_sscw-baseline-st-&-h-st_san-bernadino-ca_p2605,L:\Shared\Projects\2026\26006_ao_sscw-baseline-st-&-h-st_san-bernadino-ca_p2605
26007,ao_sscw-john-wayne-&-honeycutt_maricopa-az_p216,L:\Shared\Projects\2026\26007_ao_sscw-john-wayne-&-honeycutt_maricopa-az_p216
26008,mcg_chic-fil-A_bozeman_mt_p081,L:\Shared\Projects\2026\26008_mcg_chic-fil-A_bozeman_mt_p081
26009,zs-dev-corp_prairie-parking-lot_ca_p20250210,L:\Shared\Projects\2026\26009_zs-dev-corp_prairie-parking-lot_ca_p20250210
26010,lda_swarovski_otay-ranch-town-center_ca_p2609,L:\Shared\Projects\2026\26010_lda_swarovski_otay-ranch-town-center_ca_p2609
26011,lda_swarovski_willowbrook-mall_tx_p2611,L:\Shared\Projects\2026\26011_lda_swarovski_willowbrook-mall_tx_p2611
26012,lda_swarovski_chandler-fashion-center_az_p2610,L:\Shared\Projects\2026\26012_lda_swarovski_chandler-fashion-center_az_p2610
26013,jetelectric_Hammond_la_p176,L:\Shared\Projects\2026\26013_jetelectric_Hammond_la_p176
26014,pr_711_lancaster_ca_p2631,L:\Shared\Projects\2026\26014_pr_711_lancaster_ca_p2631
26015,ao_club-body_santa-monica_ca_p2613,L:\Shared\Projects\2026\26015_ao_club-body_santa-monica_ca_p2613
26016,sms_the-retreat_lake-perris_ca_p183,L:\Shared\Projects\2026\26016_sms_the-retreat_lake-perris_ca_p183
